 *                                      
 * hydrostatic:  btemp=  1.500E+07 bden=  1.500E+02
 *          time                temp          den           ener          sdot          sneut         s-snu         ye            1-sum
     41  1.331771964304E+16  1.500000E+07  1.500000E+02  5.635305E+17  3.838016E+01  9.388561E-01  3.744130E+01  8.287144E-01  4.440892E-15
     42  1.925474914846E+16  1.500000E+07  1.500000E+02  7.753750E+17  3.487564E+01  8.726113E-01  3.400303E+01  8.111989E-01  4.773959E-15
     43  2.822396410965E+16  1.500000E+07  1.500000E+02  1.060056E+18  3.040844E+01  7.853860E-01  2.962306E+01  7.876448E-01  5.107026E-15
     44  3.547803275799E+16  1.500000E+07  1.500000E+02  1.263908E+18  2.738054E+01  7.242218E-01  2.665631E+01  7.707659E-01  4.996004E-15
     45  4.640924875845E+16  1.500000E+07  1.500000E+02  1.534251E+18  2.358562E+01  6.448112E-01  2.294081E+01  7.483643E-01  4.551914E-15
     46  5.523541120702E+16  1.500000E+07  1.500000E+02  1.725498E+18  2.105329E+01  5.898437E-01  2.046345E+01  7.325042E-01  4.773959E-15
     47  6.869788860087E+16  1.500000E+07  1.500000E+02  1.979341E+18  1.788779E+01  5.184794E-01  1.736931E+01  7.114350E-01  4.440892E-15
     48  7.951469676049E+16  1.500000E+07  1.500000E+02  2.155965E+18  1.581746E+01  4.699426E-01  1.534752E+01  6.967624E-01  4.329870E-15
     49  9.628935608600E+16  1.500000E+07  1.500000E+02  2.391325E+18  1.322838E+01  4.067556E-01  1.282162E+01  6.771926E-01  4.440892E-15
     50  1.096934748815E+17  1.500000E+07  1.500000E+02  2.552030E+18  1.157272E+01  3.646478E-01  1.120807E+01  6.638177E-01  4.218847E-15
     51  1.309681501440E+17  1.500000E+07  1.500000E+02  2.767937E+18  9.493261E+00  3.094939E-01  9.183767E+00  6.458315E-01  4.996004E-15
     52  1.478685153514E+17  1.500000E+07  1.500000E+02  2.912138E+18  8.198083E+00  2.736412E-01  7.924442E+00  6.338072E-01  5.440093E-15
     53  1.756454415900E+17  1.500000E+07  1.500000E+02  3.108921E+18  6.554021E+00  2.261266E-01  6.327895E+00  6.173821E-01  4.662937E-15
     54  1.975820065619E+17  1.500000E+07  1.500000E+02  3.236797E+18  5.563649E+00  1.962337E-01  5.367415E+00  6.066980E-01  4.662937E-15
     55  2.361130391470E+17  1.500000E+07  1.500000E+02  3.417979E+18  4.269336E+00  1.554306E-01  4.113906E+00  5.915453E-01  4.773959E-15
     56  2.662981832309E+17  1.500000E+07  1.500000E+02  3.530890E+18  3.529856E+00  1.310875E-01  3.398768E+00  5.820930E-01  4.662937E-15
     57  3.623131367080E+17  1.500000E+07  1.500000E+02  3.782114E+18  2.084235E+00  8.082788E-02  2.003407E+00  5.610362E-01  4.440892E-15
     58  4.063025725961E+17  1.500000E+07  1.500000E+02  3.861482E+18  1.690002E+00  6.639796E-02  1.623604E+00  5.543763E-01  4.884981E-15
     59  4.477486358224E+17  1.500000E+07  1.500000E+02  3.922900E+18  1.407644E+00  5.584088E-02  1.351803E+00  5.492202E-01  4.662937E-15
     60  5.526106262845E+17  1.500000E+07  1.500000E+02  4.038500E+18  9.345122E-01  3.769990E-02  8.968123E-01  5.395103E-01  4.329870E-15
     61  6.465441076930E+17  1.500000E+07  1.500000E+02  4.110485E+18  6.818633E-01  2.776348E-02  6.540998E-01  5.334604E-01  4.218847E-15
     62  8.425008140262E+17  1.500000E+07  1.500000E+02  4.208266E+18  3.960086E-01  1.629643E-02  3.797121E-01  5.252392E-01  4.884981E-15
     63  1.057870048595E+18  1.500000E+07  1.500000E+02  4.272838E+18  2.466504E-01  1.020636E-02  2.364441E-01  5.198082E-01  5.440093E-15
     64  1.712179694814E+18  1.500000E+07  1.500000E+02  4.366607E+18  9.037171E-02  3.760758E-03  8.661095E-02  5.119195E-01  5.773160E-15
     65  3.192213223159E+18  1.500000E+07  1.500000E+02  4.434015E+18  2.494988E-02  1.040607E-03  2.390927E-02  5.062478E-01  6.217249E-15
     66  4.321152005714E+18  1.500000E+07  1.500000E+02  4.453819E+18  1.342726E-02  5.602332E-04  1.286703E-02  5.045813E-01  6.328271E-15
     67  8.099166921835E+18  1.500000E+07  1.500000E+02  4.479507E+18  3.747799E-03  1.565298E-04  3.591269E-03  5.024197E-01  6.106227E-15
     68  1.117681596558E+19  1.500000E+07  1.500000E+02  4.487492E+18  1.955679E-03  8.174613E-05  1.873932E-03  5.017477E-01  6.883383E-15
     69  2.116229358131E+19  1.500000E+07  1.500000E+02  4.497335E+18  5.410245E-04  2.272940E-05  5.182951E-04  5.009193E-01  7.327472E-15
     70  2.924302832239E+19  1.500000E+07  1.500000E+02  4.500363E+18  2.826680E-04  1.194608E-05  2.707219E-04  5.006644E-01  7.216450E-15
     71  3.924302832239E+19  1.500000E+07  1.500000E+02  4.502379E+18  1.567095E-04  6.690224E-06  1.500193E-04  5.004947E-01  6.550316E-15
