 *                                      
 * hydrostatic:  btemp=  1.500E+07 bden=  1.500E+02
 *          time                pos           vel           temp          den           pres          ener          entr          cs
     41  1.331771964304E+16  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  3.004115E+17  5.635305E+17  1.188704E+09  5.773289E+07
     42  1.925474914846E+16  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  2.919297E+17  7.753750E+17  1.157221E+09  5.691166E+07
     43  2.822396410965E+16  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  2.805324E+17  1.060056E+18  1.114519E+09  5.578913E+07
     44  3.547803275799E+16  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  2.723710E+17  1.263908E+18  1.083650E+09  5.497123E+07
     45  4.640924875845E+16  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  2.615468E+17  1.534251E+18  1.042321E+09  5.386736E+07
     46  5.523541120702E+16  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  2.538889E+17  1.725498E+18  1.012800E+09  5.307253E+07
     47  6.869788860087E+16  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  2.437231E+17  1.979341E+18  9.732362E+08  5.199865E+07
     48  7.951469676049E+16  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  2.366484E+17  2.155965E+18  9.454388E+08  5.123802E+07
     49  9.628935608600E+16  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  2.272182E+17  2.391325E+18  9.080357E+08  5.020624E+07
     50  1.096934748815E+17  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  2.207765E+17  2.552030E+18  8.822479E+08  4.948910E+07
     51  1.309681501440E+17  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  2.121185E+17  2.767937E+18  8.472668E+08  4.850853E+07
     52  1.478685153514E+17  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  2.063328E+17  2.912138E+18  8.236792E+08  4.784210E+07
     53  1.756454415900E+17  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.984324E+17  3.108921E+18  7.911847E+08  4.691682E+07
     54  1.975820065619E+17  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.932951E+17  3.236797E+18  7.698708E+08  4.630524E+07
     55  2.361130391470E+17  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.860110E+17  3.417979E+18  7.393910E+08  4.542403E+07
     56  2.662981832309E+17  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.814684E+17  3.530890E+18  7.202221E+08  4.486574E+07
     57  3.623131367080E+17  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.713516E+17  3.782114E+18  6.770637E+08  4.359674E+07
     58  4.063025725961E+17  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.681525E+17  3.861482E+18  6.632760E+08  4.318773E+07
     59  4.477486358224E+17  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.656758E+17  3.922900E+18  6.525540E+08  4.286841E+07
     60  5.526106262845E+17  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.610119E+17  4.038500E+18  6.322463E+08  4.226055E+07
     61  6.465441076930E+17  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.581059E+17  4.110485E+18  6.195143E+08  4.187737E+07
