0 100 2.01 0.49
1 250 4.63 3.0
2 500 9.54 12.03
3 750 14.3 26.4
4 1000 18.6 48.01
5 1250 23.98 83.79
6 1500 32.72 121.66
7 1750 37.26 196.47
8 2000 57.13 286.39
9 2250 63.7 363.76
10 2500 70.8 448.38
11 2750 78.64 536.35
12 3000 84.24 648.58
13 3250 92.35 766.58
14 3500 101.58 897.63
15 3750 109.74 1014.45
16 4000 118.25 1157.92

