0 2 0.22
1 4 0.8
2 6 2.14
3 8 4.62
4 10 8.57
5 12 14.11
6 14 21.76
7 16 32.12
8 18 45.07
9 20 61.92
10 22 81.91
11 24 110.0
12 26 130.57
13 28 164.39
14 30 207.2
15 32 253.09
16 34 293.33

